eventType,comments
Other,npt monitored static losses from trip tank with <number> sg mudloss rate  <number> m<number>hr under static conditions
Loss circulation,nptflow checklevel dropping slowly
Loss circulation,nptspotted <number> m<number> of lcm <number> lpm prior to pooh  flow check level is dropping 
Loss circulation,npt pooh <number> oedp <number> m to surface<number> m<number>hr losses while pooh
Loss circulation,npt  pu and rih <number> pdc bit msi<number>lpx pdc  <number> x <number> nozzles  sn je <number>  bit subtotco ring and float valve  <number>x <number> dc  <number> sstb  <number> <number> dc  <number> sstb  <number> <number> dc<number> jar <number> <number> dc  xover  <number> <number> dcxover<number> hwdp
Loss circulation,npt  continued rih with <number> pdc bit and bha on <number> dp to <number> m
Loss circulation,npt  washed down from <number> to <number> m tag top of cement  <number> m with <number> mtonsflowrate <number>  pressure <number>psi downhole losses  <number> m<number>hr lost during this period<number> m<number>surface losses <number> m<number>hr
Other,npt  dressed out cement with <number> bit from <number> m to <number>mflow rate  <number> lpm  spp  <number>psi¡¤ wob  <number> mt  rpm<number> rpm torq  <number>ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg  downhole losses  <number>  m<number>hr  lost during this period <number> m<number>   surface losses <number>  ¡¤top of rus <number> m
Other,drilled <number> hole from <number> m to <number> m  ¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number> mt  rpm <number> rpm torq <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg downhole loss rate <number> m<number>h lost during this period <number>surface losses <number> m<number>¡¤drillers top of um er radhuma <number> m
Other,drilled <number> hole from <number> m to <number> m with partial losses¡¤ flow rate   <number> lpm  spp  <number> psi¡¤ wob  <number> mt  rpm <number> rpm torq <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg pumped <number> lcm pill every stand droping <number> x rapid sweep at each connectiondownhole loss rate <number> m<number>h lost during this period <number> m<number>surface losses <number> m<number>¡¤drillers top of um er radhuma <number> m
Other,npt   while bo connection observed saver sub <number>if connection too tight manage to disconnect and replace frst joint of <number> dp
Other,drilled <number> hole from <number> m to <number> m with partial losses¡¤ flow rate   <number> lpm  spp  <number> psi¡¤ wob  <number> mt  rpm <number> rpm torq  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg pumped <number> lcm pill every stand dropping <number> x rapid sweep at each connectiondownhole loss rate <number>  m<number>h lost during this period <number> m<number>surface losses <number> m<number>¡¤drillers top of um er radhuma <number> m
Other,drilled <number> hole from <number> m to <number> m with partial losses¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number> mt  rpm <number> rpm torq <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg pumped <number> lcm pill every stand dropping <number> x rapid sweep at each connectiondownhole loss rate<number> m<number>h lost during this period<number> m<number>surface losses <number> m<number>¡¤drillers top of um er radhuma <number> m
Other,circulated to clean hole before deviation surveyperformed deviation survey at <number> m with slicklineinclination <number> degstatic losses <number> m<number>hr
Other,drilled <number> hole from <number> m to <number> m with partial losses¡¤ flow rate  <number> lpm  spp <number> psi¡¤ wob <number> mt  rpm<number> rpm torq  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop <number> mhr¡¤xxunitmwin  <number> sg pumped <number> lcm pill every stand dropping <number> x rapid sweep at each connectiondownhole loss rate <number>  m<number>h lost during this period <number> m<number>surface losses <number> m<number>¡¤drillers top of um er radhuma <number> m
Other,drilled <number> hole from <number> m to <number> m with partial losses¡¤ flow rate  <number>lpm  spp <number> psi¡¤ wob <number>mt  rpm<number>rpm torq  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop <number> mhr¡¤xxunitmwin  <number> sg dropping <number> x rapid sweep at each connectiondownhole loss rate <number> m<number>h lost during this period <number> m<number>surface losses <number> m<number>¡¤drillers top of um er radhuma <number> m
Other,circulate until clean returns on the shale shakers with  <number> lpm <number> psi 
Loss circulation,npt closed bop pressurized <number> casing to <number> psi performed injectivity test of <number> and <number> annular space pumped <number> sg drilling mud <number> bbl at <number> bmp increments  <number> psi <number> bbl at <number> bpm increments  <number> psi <number> bbl at <number> bpm  <number> psi pressure while pumping is steadywitnessed from fod by ali jabbar
Other,picked up <number> dp joints and ran in hole from <number> m to <number> m continued rih <number> dp stands from <number> m to <number> m
Loss circulation,npt performed <number> csg top job pumped <number> m<number> of preflush <number> m<number> of <number> sg cement slurry pumped <number> m<number> of water pumping pressure <number> psi injection rate  <number> bpm
Other,continued rih <number> dp stands from <number> m to <number> m washed down last two stands
Other,tag top of cement at <number> m top plug driled out top and bottom plugs float collar and cementdriled shoe track and <number> m of new formation from <number> to <number> m with <number> bit and downhole motor meanwhile increased and conditioned drilling mud to <number> sg¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm <number> downhole rpm <number>   torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation sadi top at <number> m
Other,circulated and increased mud weight to <number> sgmwin  <number> sg mwout <number> sg
Other,pulled out to <number> casing shoe for fit performed fit test  <number> m with <number> sg mud applied <number> psi at surface emw  <number> sg ok
Other,drilled <number> hole from <number> to <number> m with downhole motor and pdc bit¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm  <number>  <number> downhole rpm <number>   torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation sadi top at <number> m
Other,deviation survey on slick line at <number> m inc  <number> deg
Other,drilled <number> hole from <number> to <number> m with downhole motor and pdc bit¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm  <number>  <number> downhole rpm <number>   torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation tanuma top at <number> m
Other,drilled <number> hole from <number> to <number> m with downhole motor and pdc bit¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm  <number>  <number> downhole rpm <number>   torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation khasib top at <number> mdrilling stopped because drop of circulating pressure  <number> psi  followed by sudden drop of torque and sudden drop of rop
Other,npt circulating to clean wellbore and troubleshooting lost of <number> psi of differential pressure after not found good confirmations of pdm failure and not found any rubber on shale shaker suspected that problem can be connected with sticky formations above mishrif and bit balled up
Other,continued drilling <number> hole from <number> to <number> m with  increased flow rate¡¤ flow rate  <number>  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  surface rpm  <number>  <number> downhole rpm <number>  <number>   torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number>  <number> mhr  at <number> m sudden increase of rop¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation khasib top at <number> m
Other,drilled <number> hole from <number> to <number> m  with downhole motor and pdc bit¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm  <number>  <number> downhole rpm <number>   torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation mishrif top at <number> m
Other,deviation survey on slick line at <number> m in progress
Stuck Pipe,npt pipe stuck on bottom at <number> m during drilling work pipe stuck untill freeat <number> m tds lost power due suddenly increase of torque to <number> ftlbf resulting in pipe stuck not posible to pick up not possible to rotate circulations free work string untill free max torque applied <number> ftlbf max over pull <number> mt backreamed and reamed down
Other,drilled <number> hole from <number> to <number> m  with downhole motor and pdc bit¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm <number> downhole rpm <number>  torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation mishrif top at <number> m
Other,continued drilling <number> hole from <number> to <number> m  with downhole motor and pdc bit¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  surface rpm <number> downhole rpm <number>  torq  <number>  <number> ftlbf¡¤ avg rop  <number> mhr  on btm rop  <number> mhr¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg¡¤ formation mishrif top at <number> m
Other,pumped <number> m<number> of hivis pill and circulated well bore clean prior to wiper trip
Other,flow check well bore static
Other,npt  pooh from <number> m to <number> m for wiper trip from <number> m overpull <number> mt continued pump out of hole and back reaming  attempted every stand pooh without circulations no success observed traces of cavings on shale shaker caving increased in tanuma shale hudge amount of caving flow rate  <number> lpm  spp  <number> psi  rpm  <number>  torq  <number>  <number> lbfft performed kick drill at casing shoe well secured in <number> min
Other,npt circulated at <number> m to clean cavings from hole
Other,rih from <number> m to <number> m to condition well bore prior open hole logging tag obstruction at <number> m with <number> mt washed down from <number> m to <number> m
Other,pumped <number> m<number> of hivis pill and circulated well bore clean prior to pooha lot of cavings on shale shaker the same amount with hi vis pill on surface after hi vis pill decreased to minimium flow rate <number> lpm spp <number> psi
Other,dropped totco and spotted <number> m<number> of <number> sg hivis pill in open hole¡¤ flow rate <number> lpm spp <number> psi
Other,flow check  no flow
Other,pooh <number> bha from <number> to <number> m no overpull observed
Other,flow check  well bore static performed kick drill at <number> csg shoe well secured in <number> min
Other,continued pooh <number> bha from <number> m to top of bha at <number> m
Other,flow check  well bore static 
Stuck Pipe,casing became stuck at <number> m tried to circulate down unsuccessfully decided to cementxxunitinplace
Other,cemented <number> casing
Other,woc
Other,cut <number> casing weld casing spool
Other,safety meeting
Other,nipple up diverter and hcr valve
Other,pressure test diverter  hcr valve
Other,changing shevexxunitincrown
Other,rih toc  <number> m
Other,drill out cement float equipment
Other,lot applied pressure <number> kpa fresh waterxxunitinthe hole
Other,circulate water out
Other,condition mud
Other,drill to <number> circulating samples to surface
Other,control drilled to <number> m
Stuck Pipe,npt attempt to wash up from <number>' by using <number> gpm  <number> psi no success due to high over pull attempt to back ream and observed high torque up to <number> klbft  high over pull drill string is able to rotate able to pump but not able to move string upwards with working on same with maximum <number> klb's over pull  pumped <number> bbls of anti balling pill and hi vis pill continue pumping inhibited water and back reaming from <number>' to <number>' by using <number>  <number> gpm <number>  <number> psi <number> surface rpm  torque <number>  <number> klbft decided to pump <number> bbls of hivis pill and switched pumping down the string from water to mud no progress observed after pumped all hivis and mud available on mud system switched to water and continued mixing mud string still  rotating with erratic torque continued working on string upward gently with maximum <number> kl's over pull torque is fluctuated with high tendency up to <number> klbft with no progress
Stuck Pipe,npt continue attempting back reaming from <number>' by using <number> gpm <number> psi <number> rpm  torque <number>  <number> klbft continue pumped inhibited water asxxunitadrilling fluid not able to make back reaming due to high torque up to <number> klbft while rotating the string at the same place <number>' with <number> surface rpm <number> gpm  <number> psi observed tds suddenly stop due to high torque up to <number> klbft not able to rotate drill string and not able move string up or down string got stuck
Stuck Pipe,npt attempt to worked on stuck pipe by jarring down jar not working down work string down with all the string weight no success discussed with the office decided to jar up no success work the string up with maximum over pull up to <number> klb's no success
Stuck Pipe,npt work on stuck pipe attempt to worked on stuck pipe by jarring down jar not working down work string down with all the string weight with right torque at <number> klft no success continued working the string with jarring up with maximum <number> klb's over pull  slack off all the string weight with right torque pumped mud to the annuals occasionally pumped down trough annulus <number> bbl of clean spot pill friendly pill swept the hole with several times of hi vis pill continued build up new mud and pump same down the string  received <number> bbl of mud from aramco the string got free at <number> pm
Stuck Pipe,npt continued rotating and working up and down string to clean the holepumped hivis pills several times to improve hole cleaning <number> bbl each time
Stuck Pipe,npt  hard back ream first stand from <number>' to <number>' and continued pump out free from <number>' to <number> casing shoe  <number>'  swept the hole several times with hi vis pill pumped down trough annulus <number> bbl of clean spot pill friendly pill rack back <number> stand of <number> hwdp  <number> stands of <number> dc
Stuck Pipe,npt pooh single by single from <number>' to surface break out  lay down all bha components for inspection performed shallow hole test at mud motor with <number> gpm  <number> psi ok <number> bit dull grading <number>wtaeinohp
Stuck Pipe,npt break out  lay down for inspection <number> stands of <number> hwdp  <number> joints of <number> dc  <number> drilling jar
Stuck Pipe,npt completed break out  lay down all <number> bha for inspection house keeping on the rig floor
Other,npt performed tds  mast inspection service tds  changed the kelly saver sub
Stuck Pipe,npt pick up and make up new <number> bha  rack back on derrick <number> x <number> hwdp  <number> x <number> dc  <number> drlg jar  <number> x <number> dc
Stuck Pipe,npt picked up  made up <number> gs<number>ve<number> rr tricone bit sn pz<number>x<number>x<number>  <number> motor power edge with <number> sleeve stab performed shallow hole test with <number>gpm  <number> psi ok
Stuck Pipe,npt continue making up bha as follow ?
Stuck Pipe,npt continue rih in open hole on elevators from <number>' to <number>' no tight spots encountered in this interval
Stuck Pipe,npt ream down precautionary from <number>' to <number>' with <number> gpm  <number> psi <number> surface rpm  <number> downhole motor sweep hole with <number> bbls of hivis pill
Stuck Pipe,npt work on stuck pipe while connection at <number>'  connection time consumed <number> mins due to tds malfunction string got stuck ld one single due to stuck on bottom while connection worked on stuck pipe by jarring up and work until free
Other,continue pumping into the hole to clean the well bore 
Other,continue drilling <number> hole section from <number>' to <number>' with following parameters flow rate <number> gpm <number>  <number> psi <number> surface rpm  <number>  <number> rpm from mud motor wob <number>  <number> klb tq <number>  <number> klbft av rop <number> fthr optimizing hole cleaning by following drilled with controlled rop pump <number> bbls of <number> pcf spud mud every half stand drilled spot <number> bbls of <number> pfc of spud mud every stand drilled back ream  ream down full stand drilled drop <number> rapid sweep's every connection pumped <number> bbls to the annulus every <number> min
Other,continue drilling <number> hole section from <number>' to <number>' drilled with controlled rop pump <number> bbls of <number> pcf spud mud every half stand drilled spot <number> bbls of <number> pfc of spud mud every stand drilled back ream  ream down full stand drilled drop <number> rapid sweep's every connection
Other,continue drilling <number> hole section from <number>' to <number>' drilled with controlled rop pump <number> bbls of hi vis pill every half stand drilled spot <number> bbls of <number> pfc of spud mud every stand drilled back ream  ream down full stand drilled drop <number> rapid sweep's every connection
Other,continue drilling <number> hole section from <number>' to <number>' drilled with controlled rop pump <number> bbls of hi vis pill every half stand drilled and full stand drilled back ream  ream down full stand drilled spot <number> bbls of hivis pill every stand drilled drop <number> rapid sweep's every connection note while drilling from <number>' to <number>' observed slowly pressure increase from <number> psi to <number> psi and relief pressure valve in mud pump has been activated  
Other,npt reset pump off valve and run mud pump again after few strokes pumped observed pressure suddenly increase up to <number> psi pump off attempted to continue pumping water but not success due to pressure suddenly increase decided to rack back dp stand and observed string stuck and over pull more than <number> klb string became free after working string up  down while attempt to open tds observed hydraulic oil leak on tds 
Other,nptpooh from <number>' to <number>'  after <number> stands out make up tds and attempt to circulate not success due to pressure suddenly increase after few strokes pumped open tds and pump water to rig floor to be able check if there is some obstruction from mud pumps to rig floor found ok while pulling out performed pressure test at <number> mud pump with <number> psi pressure hold ok
Other,nptpooh from <number>' to surface pooh free from <number>' to <number>' observed over pull at <number>' with <number> klb slowly back reamed  from <number>' to <number>' with <number> gpm due to pressure shooting up pooh free on elevator from <number>' to surface' observed the motor bearing seal damage
Other,service tds and fixed the hydraulic leaks
Other,npt ld the damage mud motor and picked up new <number> mud motor with impervious bha tested the motor  <number> gpm <number> psi ok
Other,npt rih with <number> rr bit bha  hwdp to <number>' free from casing shoe to <number>'
Other,npt continue rih from <number>' to <number>' at <number>' found <number> klb of slack off weight
Other,npt  ream down from <number>' to <number>' with following parameters  <number>  <number> gpm  <number>  <number> psi <number>  <number> rpm  <number>  <number> klbft of toque
Other,resume drilling with <number> bit from <number>' to <number>'used following parameters flow rate <number>  <number> gpm  <number>  <number> psi <number>  <number> rpm  <number>  <number> rpm down hole motor torque <number>  <number> klft wob <number>  <number> klb av rop <number> fthr drilled with controlled rop pump <number> bbls of hivis pill every half stand drilled and full stand drilled back ream  ream down full stand drilled circulate for <number> min spot <number> bbls of hivis pill every stand drilled drop <number> rapid sweep's every connection
Kick,npt aramco monitor pressure sidpp  sicp  <number> psi open bop and circulate two complete cycles
Kick,npt aramco circulate hole with <number> gpm  <number> psi observed pocket of gases with the bottomsup <number>% of lel reading shut the well in sidpp  sicp  <number> psi circulate through the choke
Kick,npt aramco circulation through the choke minimum mud weight out is <number> pcf and increased gradually with circulation to <number> pcf flaring the gas for <number> min the flare was <number> meters high
Kick,npt aramco opened the well and circulation through the shakers with observing the down hole losses mud wt inout <number> pcf avrg down hole losses <number> bph increase mud weight to <number> pcf
Kick,npt aramco circulation while raising the mud weight from <number> pcf to <number> pcf <number> gpm  <number> psi attempt to condition mud inout at <number> pcf mud in<number> pcf  out<number> pcf avrg down hole losses started at <number> bblhr and decreased gradually to zero at <number> hrs perform flow check for one hour and then circulate bottoms up to check gases
Kick,npt aramco performed extended flow check well is flowing at <number> bblhr and decrease to <number> bblhr
Kick,npt aramco circulate bottom up with <number> gpm  <number> psi after <number> strokes pumped observed flow out increase from <number>% to <number>% xxunitmwout <number> pcf  <number>xxunitperceof gas shut the well in
Kick,npt aramco read pressures sidpp  sicp  <number> psi circulate through choke manifold and poor boy untilxxunitmwout is <number> pcf <number> spm  <number> psi stop mud pumps and performed flow check for <number> min on choke manifold  poor boy and observed well with slight flowing up to <number> bblshr flaring the gas for <number> min the flare was <number> meters high
Kick,npt aramco continue circulating through choke manifold and poor boy with <number> spm  <number> psi  note stop mud pumps open bop and continue with direct circulation  increasexxunitmwfrom <number> pcf to <number> pcf and condition the mudin progress
Kick,npt aramco continue circulation while raisedxxunitmwup from <number> pcf to <number> pcf <number> gpm  <number>  <number> psi mud weight in xxunitmwout  <number> pcf stop mud pumps to perform flow checknote while homogenize mud in the hole and active system observed slight down hole losses <number> bblshr during <number> min decrease flow rate to <number> gpm and then no down hole losses observed
Kick,npt aramco performed flow check observed well with slight returns <number> bph decreased gradually until well became static in <number> min's ok
Other,pooh free for wiper trip from <number>' to <number>' inside <number> liner shoe observed hole in good conditions no tight spots monitor well on trip tank  trip sheet <number> bbl's losses while pooh
Other,performed flow check observed slight returns started at <number> bph and decreased gradually to <number> bph in <number> min's
Other,rih back to bottom free from <number>' to <number>'
Other,circulate to hole clean with <number> gpm  <number> psi observed <number>xxunitperceof gas at bottoms up minimum mud weight out at bottoms up <number> pcf condition the mud weight inout at <number> pcf
Kick,npt aramcowait on decision continue circulation and condition the mud <number> gpm  <number> psi mud weight in xxunitmwout  <number> pcf
Kick,npt aramcocontinue circulation while increasing the mud weight and condition the mud from <number> pcf to <number> pcf flow <number> gpm  <number> psi mud weight in xxunitmwout  <number> pcftook scr's
Kick,npt aramco performed extended flow check observed slight flow starting from <number> bblhr to <number> bblshr observed well static for the last <number> min
Kick,npt aramcopooh free for wiper trip from <number>' to <number>' inside <number> liner shoe observed hole in good conditions no tight spots monitor well on trip tank  trip sheet theoretical displacement <number> bbls actual displacement <number> bbls
Kick,npt aramcorih back to bottom free from <number>' to <number>'
Kick,npt aramcocirculate bottoms up with <number> gpm  <number> psi observed <number>xxunitperceof gas at bottoms up minimum mud weight out at bottoms up <number> pcf just one sample condition the mud weight inout at <number> pcf rack back one stand make up tds and space out for flow check
Kick,npt aramco performed extended flow check for <number> hrs well static static losses <number> bblhr
Other, pooh free from <number>' to <number>' inside <number> liner shoe pooh with controlled speed observed hole in good conditions no tight spots monitor well on trip tank  trip sheet theoretical displacement <number> bbls actual displacement <number> bbls
Other,performed extended flow check for <number> hrs well static ok
Other,pooh from <number>' to tol  <number>' monitor well on trip tank  trip sheet avrg down hole losses <number> bph
Other,performed flow check for <number> hr well static
Other,pooh from <number>' to <number>' monitor well on trip tank  trip sheet avrg down hole losses <number> bph
Other,pooh from <number>' to top of bha  <number>' monitor well on trip tank  trip sheet avrg down hole losses <number> bph
Other,pooh bha from <number>' to surface monitor well on trip tank  trip sheet lay down mwd tools bit dull grading <number>wtsxinotd
Other,schlumberger wireline  held pjsm rig up wl bop and performed pressure test with <number> psi x <number> min ok rig up surface equipment for run <number> monitor hole on trip tank and trip sheet
Stuck Pipe,mup bop jetting sub jetted and circulated at <number> bpm against annular and <number> bpm against rams pooh  ld bop jetting sub
Other,continued rih on <number> drill pipes to tol at <number> ft broke circulation every <number> stands
Other,connected tds broke circulation and rih two more stands connected tds and reamed and polished the setting interval for s<number> packer at <number> ft with <number>¡± razorback scraper several times as per mi swaco specialist instructions
Other,continued rih well commissioner and clean out tools on <number> drill pipes to <number> ft and tagged tol with nogo with <number> klbs meanwhile circulating at <number> bpm picked up <number> ft started rotation to <number> rpm kept circulation at <number> bpm and confirmed tol at same depth conducted pittrip drills conducted h<number>s drill
Other,circulated bottomsup with <number> gpm <number> psi stand pipe pressure meanwhile rotated the pipe with <number> rpm
Other,slacked off and set the well commissioner by landing on the liner top and setting down <number> klbs on well commissioner nogo
Other,set back well commissioner nogo on tol with <number> klbs to expanded packer element and bled off drill pipe pressure to <number> psi in stages got <number> bbl returns
Other,started performing negative pressure test prepared horner's plot monitored annulus level through rotary table steady recorded back flow every <number> minutes
Other,continued performing negative pressure test for <number> hrs filled up horner's plot test successful showing bridge plug is holding pressure from below monitored annulus level through rotary table steady recorded back flow every <number> minutes
Other,repressured the drill string equalized the pressures in the annulus and drill string and unset packer element started displacing well with water ongoing at report time
Other,displaced well with water at <number> bpm and recovered all kclpolymer mud
Other,flushed all surface lines mud pumps and choke manifold with water
Other,hpjsm performed casing pickling job pumped chemical cleaning and pickling fluids <number> bbl of hivis water followed by <number> bbl of cct<number>d solution and <number> bbl of hivis water displaced with filtered water at <number> bpm while rotating the drill string at <number> rpm measured and recorded fluid quality on returns by collecting samples every <number> minutes  ntu readings <number> <number> taken <number> minutes apart respectively  tss readings <number>% <number>% <number>% taken <number> minutes apart respectively
Other,pooh <number> stands of <number> drill pipes up to <number> tol at <number> ft and ran back in hole conducted pit drill
Other,circulated hole with filtered water while monitoring and recording fluid quality on returns collected fluid samples every <number> minutes  ntu readings <number> <number> taken <number> minutes apart respectively  tss readings <number>% <number>% <number>% taken <number> minutes apart respectively conducted trip drill
Loss circulation,npt mixed and pumped <number> m<number> of hi vis lcm pill did not observed any lcm on shakers nor at breaching points
Loss circulation,npt poh from <number> m to surface racked back in mast <number> stands of <number> drill collar laid down <number> stabilizer picked up <number> jnts of hwdp and racked in mast bit bit sub xo and shock sub
Other,picked up and racked back in mast <number> joints <number> hwdp and <number> joints of <number> drill collars drilling jar and <number> joints of <number> drill colars
Loss circulation,npt rih with open end drill pipes to <number> m rigged up side entry sub and fosv rigged up and connect cementing lines
Loss circulation,npt circulation with <number> lpm after soaking of lcmobserved breaching of mud between substructure and pipe rack on the same places continued
Other,npt held pre job safety meeting
Other,npt pressure tested cementing line to <number> psi ok
Other, npt set cement plug to close breaching points pumped <number> m<number> of fresh water  <number> lpm mixed and pumped <number> m<number> of <number> sg cement slurry  <number> lpm add <number> lbbbl cemnetd<number> mixed and pumped <number> m<number> of <number> sg cement slurry  <number> lpm observed cement on bleaching point and shale shaker same time measured  cement weight as <number> sg
Other,npt break out and laid down side entry sub and fosv poh open end drill pipes from <number> m to surface flushed drill pipes  level in riser below rotary table steady
Other,regular service of top drive
Other,npt level in riser dropped <number> m picked up <number> stand of  <number> drill pipes to test cement at thickening time <number> bc  found green cement inside riser flushed riser down to <number> m to allow room for picking up  drill pipes while wait on cement
Other,picked up and racked back in mast <number> joints <number> drill pipescontinued checking surface cement samples at <number> min intervals
Other,npt connected top drive and rih with <number> stand of  <number> drill pipes to top of cement top of cement found at <number> m
Loss circulation,npt picked up and rih with <number> bha to top of cement at <number> mmake up <number> tricone bit gs<number>ubvc smith iadc <number>x nozzles <number> <number> sn pr<number> bit sub xo shock sub <number> xo and <number> hwdp
Loss circulation,npt drilled out cement plug from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number> ftlbf overall average rop  <number> metershour av rop on bottom <number> metrshour
Loss circulation,npt racked stand of <number> hwdp and make up stand of <number> drill collar
Loss circulation,npt drilled out cement plug from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number> ftlbf overall average rop  <number> metershour av rop on bottom <number> metrshour no breaching and no downhole losses
Loss circulation,npt racked back two stands of <number> hwdp and make up xo  <number> stabilizer xo <number>one stand of <number> drill collars
Loss circulation,npt racked back one stand of <number> hwdp and make up one stand of <number> drill collars
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metrshour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°dibdibba¡± no breaching and no downhole losses
Other,racked back two stand of <number> hwdp and make up one stand of <number> drill collars xo and one stand of <number> drill collars
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metrshour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°dibdibba¡±
Other,racked back two stand of <number> hwdp and make up last stand of of <number> drill collars make up two stands of <number> hwdp
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metershour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°dibdibba¡±
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number>  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number> ftlbf av rop on bottom  <number> metershour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°didbiba¡±
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number>  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metershour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°lower fars¡± top at <number> m
Other,npt repair mud pump <number> changed piston
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metershour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°lower fars¡±
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metershour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°lower fars¡±
Other,drilled <number> hole section from <number> m to <number> m¡¤ flow rate  <number> lpm  spp  <number>  <number> psi¡¤ wob  <number>  <number> mt  rpm  <number>  torq  <number>  <number> ftlbf av rop on bottom  <number> metershour overall average rop  <number> metershour¡¤xxunitmwin  <number> sg xxunitmwout  <number> sg  formation ¡°ghar¡± top at <number> m
